symbol,return,max_dd,trades,winrate
AR/USDT:USDT,0.020852481910845766,-0.02530815117676788,518,0.4420849420849421
XRP/USDT:USDT,0.01676375704273636,-0.00961258988931002,400,0.4775
CHZ/USDT:USDT,0.016147007643456,-0.029934612638057412,382,0.4109947643979058
KNC/USDT:USDT,0.015686837397262732,-0.013821414838921298,550,0.36363636363636365
RUNE/USDT:USDT,0.013700953482870704,-0.015124610845949182,498,0.4578313253012048
VET/USDT:USDT,0.012890660061600556,-0.02082796607212567,436,0.49770642201834864
SAND/USDT:USDT,0.012086813735411539,-0.02535842806882982,484,0.4855371900826446
DUSK/USDT:USDT,0.011309749600455499,-0.03926364405724081,487,0.46611909650924027
API3/USDT:USDT,0.011126386083197826,-0.01741540252194651,515,0.4446601941747573
COTI/USDT:USDT,0.010530585354753041,-0.029439747155604157,476,0.4432773109243697
BTC/USDT:USDT,0.01050808544570736,-0.006962551016842733,544,0.5036764705882353
AAVE/USDT:USDT,0.008852383265955055,-0.03229675487293848,480,0.5375
COMP/USDT:USDT,0.00863732758131519,-0.1204069017742323,486,0.5123456790123457
ENS/USDT:USDT,0.007082623985887659,-0.016898146762480803,495,0.4767676767676768
GRT/USDT:USDT,0.0028412831121524817,-0.02309018470684543,371,0.42857142857142855
XLM/USDT:USDT,0.0015071758670230917,-0.025929235999389122,397,0.5289672544080605
BTCDOM/USDT:USDT,0.001454954635008221,-0.009831380775808918,523,0.4780114722753346
ADA/USDT:USDT,-0.0002550008052538688,-0.014214317665098175,408,0.4411764705882353
ANKR/USDT:USDT,-0.0003041529922218622,-0.018583872450670502,382,0.4738219895287958
ENJ/USDT:USDT,-0.0006682797888759584,-0.016077463777236956,518,0.3996138996138996
LINK/USDT:USDT,-0.003266726669109321,-0.04268817848591955,528,0.49053030303030304
RSR/USDT:USDT,-0.00676409314364812,-0.04718292120942247,410,0.44146341463414634
TRX/USDT:USDT,-0.007073846931005878,-0.012988364467206859,381,0.3884514435695538
APE/USDT:USDT,-0.009116495367245792,-0.036760803546447174,508,0.4507874015748031
